Path	Name	"Default Culture"	"da"
GhostSpectator/Translation/strings	change914KnobDenied	"Spectators can't change the knob of SCP-914."	"Tilskuere kan ikke indstille SCP-914"
GhostSpectator/Translation/strings	containDenied	"Spectators can't contain SCPs."	"Tilskuere kan ikke fange SCP'er."
GhostSpectator/Translation/strings	detonateWarheadDenied	"Spectators can't detonate the warhead."	"Tilskuere kan ikke detonere sprænghovedet."
GhostSpectator/Translation/strings	detonationCancelDenied	"Spectators can't cancel the detonation."	"Tilskuere kan ikke annullere detonationen."
GhostSpectator/Translation/strings	doorDenied	"Spectators can't open doors."	"Tilskuere kan ikke åbne døre."
GhostSpectator/Translation/strings	elevatorTeleport	"Teleporting through the elevator."	"Teleporterer igennem elevatoren."
GhostSpectator/Translation/strings	generatorDenied	"Spectators can't interact with generators."	"Tilskuere kan ikke bruge generatore."
GhostSpectator/Translation/strings	intercomDenied	"Spectators can't use the intercom."	"Tilskuere kan ikke bruge samtaleanlægget."
GhostSpectator/Translation/strings	leverDenied	"Spectators can't use levers."	"Tilskuere kan ikke bruge håndtag."
GhostSpectator/Translation/strings	lockerDenied	"Spectators can't open lockers."	"Tilskuere kan ikke åbne skabe."
GhostSpectator/Translation/strings	notImplementedYet	"This feature has not been implemented yet."	"Denne funktion er ikke implementeret endnu."
GhostSpectator/Translation/strings	teleportNone	"No players found."	"Ingen spillere fundet."
GhostSpectator/Translation/strings	teleportTo	"Now spectating {0}."	"Tilskurer nu {0}."
GhostSpectator/Translation/strings	use914Denied	"Spectators can't use SCP-914."	"Tilskuere kan ikke bruge SCP-914."
GhostSpectator/Translation/strings	warheadEnableDenied	"Spectators can't enable the warhead."	"Tilskuere kan ikke aktivere sprænghovedet."
GhostSpectator/Translation/strings	warheadKeycardDenied	"Spectators can't activate the warhead button."	"Tilskuere kan ikke aktivere sprænghovedknappen."
GhostSpectator/Translation/strings	workstationPlaceDenied	"Spectators can't use workstations."	"Tilskuere kan ikke bruge arbejdstationer."
GhostSpectator/Translation/strings	workstationTakeDenied	"Spectators can't use workstations."	"Tilskuere kan ikke bruge arbejdstationer."
